,proposal,voter,support,single_vote,name
581,105,0x6223bc5fd16a19bcfae2281dde47861cfe1023ee,1,2,
1164,105,0xa4e232fceedb3f43c8e707f8cf20b6bcf30f10e1,1,1,blequity.eth
1645,105,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89,1,1,maty.eth
601,105,0x6937db08db977c734fc1ce884d2915b05147f845,1,1,vote.thenounsquare.eth
1096,105,0xa1c0b11b86a46885b87c7ed68b91faa0c349e1cd,1,1,pbrianandj.eth
1735,105,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401,1,1,budlight.beer.eth
1079,105,0x9a2f6117d1ffa82ad0a2b36f133d476db5bd55f5,1,1,bigint-vault.eth
401,105,0x3d209a7ddebd2ac83b5e6681d997bdf04d1b9b6b,1,1,mksm.eth
1257,105,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,4,krel.eth
1911,105,0xfc9e8db5e255439f430e058462360dd52b87cb4f,1,3,signer.seneca.eth
1912,106,0xfc9e8db5e255439f430e058462360dd52b87cb4f,1,3,signer.seneca.eth
175,106,0x203cc9b81c53fd649bd575e0e19925dd1a2a54da,1,1,
666,106,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,1,6,beautifulnfts.eth
522,106,0x583885492b1ac55e6633cdd89d03939033c96bf8,1,1,patronvault.eth
1736,106,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401,0,1,budlight.beer.eth
1080,106,0x9a2f6117d1ffa82ad0a2b36f133d476db5bd55f5,1,1,bigint-vault.eth
482,106,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,1,24,
1676,106,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f,1,3,
941,106,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,14,hot.4156.eth
947,106,0x87757c7fd54d892176e9ecec6767bc16e04a06a8,1,3,
1665,106,0xe085327c5ad2f77147f10973fed45fb19d734f7e,1,1,0xminion.eth
1120,106,0xa387c87102fc0b51939d0cf9a86f7edd05291d5c,1,1,noun51.eth
1258,106,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,4,krel.eth
1278,106,0xa8d04cd4e1951291740ef977d56336fdc7f394c5,1,5,wahoo.eth
1291,106,0xa9c05e8a9768929c4c6b87911ae47bce88109c74,1,0,
1442,106,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,1,6,joshuafisher.eth
1538,106,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
1607,106,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
820,106,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,11,noun22.eth
958,106,0x88f9e324801320a3fc22c8d045a98ad32a490d8e,1,3,
1737,107,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401,1,1,budlight.beer.eth
253,107,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0,10,nounders.eth
942,107,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,0,14,hot.4156.eth
1608,107,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,2,3,cdt.eth
1371,107,0xb1c41c71d36cedea7ddcd5f8d5c5c32ba8f3cbfc,0,3,
821,107,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,11,noun22.eth
556,107,0x5ca6a2e5f53a48616d4ead87ff6034fc032d4722,0,1,honkdiddly.eth
483,107,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,1,25,
582,107,0x6223bc5fd16a19bcfae2281dde47861cfe1023ee,0,2,
1646,107,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89,2,1,maty.eth
1577,107,0xceb78abfad166c11e350156fd671b385265a6c87,2,1,gabrielayuso.eth
521,107,0x565b93a15d38acd79c120b15432d21e21ed274d6,1,1,flynnjamm.eth
1666,107,0xe085327c5ad2f77147f10973fed45fb19d734f7e,1,1,0xminion.eth
1691,107,0xe5e4b1ec4061d6fc932207dfc5cf96bd27fb11da,1,1,neuroswish.eth
1334,107,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,1,1,noun109.eth
1025,107,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,2,1,apenoun.eth
529,107,0x5c6e1b0e60d4a1493ca8dd9bbf7a31d65eeec094,1,1,salvino.eth
1677,107,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f,0,3,
948,107,0x87757c7fd54d892176e9ecec6767bc16e04a06a8,0,3,
1443,107,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,2,6,joshuafisher.eth
1686,107,0xe3064d830c35119a83402636816444446ac72d36,2,1,
1217,107,0xa555d1ee16780b2d414ed97f4f169c0740099615,0,2,noun40.eth
1539,107,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,2,12,nouncil.eth
959,107,0x88f9e324801320a3fc22c8d045a98ad32a490d8e,0,3,
1540,108,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
1390,108,0xb59aa5bb9270d44be3fa9b6d67520a2d28cf80ab,1,0,shnoodles.eth
557,108,0x5ca6a2e5f53a48616d4ead87ff6034fc032d4722,0,1,honkdiddly.eth
949,108,0x87757c7fd54d892176e9ecec6767bc16e04a06a8,1,3,
583,108,0x6223bc5fd16a19bcfae2281dde47861cfe1023ee,1,2,
842,108,0x7dd5b92716542ab2442030df6d87cec437a51ded,0,1,jjb.eth
1335,108,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,1,1,noun109.eth
1026,108,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,1,1,apenoun.eth
943,108,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,14,hot.4156.eth
530,108,0x5c6e1b0e60d4a1493ca8dd9bbf7a31d65eeec094,1,1,salvino.eth
853,108,0x7fa020f063b3a06153ed755cee5923039efb86a3,1,15,
