,proposal,voter,support,single_vote,name
901,47,0x440bb6c7266397ce6adf157ab8683bc3c9fdacf5,1,11.661818887884309,
2278,47,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,1,344999.85083900305,
1050,47,0x4ca7b33aed8b13faabb97724ddb3108500a3801e,1,307031.26404450554,
1077,47,0x4e2ed0ce033d49bdcdf991914d150e30ae433e06,1,0.0,
576,47,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,7745.654352375346,arr00.eth
2370,47,0x9d83605d0479c475588fba28d7c4607f4cb30414,1,0.0,
927,47,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,0.5495891589942499,
1259,49,0x582cd2fb9b6f228acf4edf8f6c608ddace41d468,1,6563.589999999999,
633,49,0x2d42af353533fe0911e6d2046ce773be2d758ce0,1,0.014988595716426032,
2279,49,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,1,344999.00393805286,
2371,49,0x9d83605d0479c475588fba28d7c4607f4cb30414,1,0.0,
1606,49,0x73baa8a41dda1cbcae8c7709a2a7b171182a1d46,1,0.0,
1130,49,0x5274b3bebc974f3cf661efe149bf4c6f4cdc59d2,1,4773.3099999999995,
1843,49,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,102.75636161414054,
660,49,0x303eefedee1ba8e5d507a55465d946b2fea18583,1,1.0,bacobit.eth
1421,49,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126093.36384706035,
93,49,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1,49999.99999999999,upennblockchain.eth
366,49,0x19b570af5dddb8f0f5a15c83d07a1c5153865188,1,0.8058410532497946,
1654,49,0x7905c68385b6919d8ae2ffb90fbf2c3c5c218de4,1,6.250703428211493,
429,49,0x1d29756e8f7b091ce6c11a35980de79c7eda5d1f,1,50019.1915837444,
577,49,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,7746.021343108619,arr00.eth
963,49,0x458ceec48586a85fcfeb4a179706656ee321730e,1,50001.452265037355,calblockchain.eth
2048,49,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,12514.38334879738,monetsupply.eth
1298,49,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,57785.755787858405,
1195,49,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100079.95467895956,
1742,49,0x7d96a6f41fd31c7624f7069415be58b5e3576d34,1,289.87579828198625,trilez.eth
1797,49,0x8169522c2c57883e8ef80c498aab7820da539806,1,101000.02465446974,
1780,49,0x7f89077b122afaaf6ab50aa12e9cb46bb9a058c4,1,8018.20777573,
928,49,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,0.5495891589942499,
1775,49,0x7f843d2df640b5f986b9c14c405a1728f8084d0b,1,99.3945619791223,
2323,49,0x9b68c14e936104e9a7a24c712beecdc220002984,1,10000.0,getty.gfxlabs.eth
509,49,0x24ed109450c6d407c1e8b5d4c94c9f9cd222c472,1,0.0,
