,id_proposal,support_votes
1467,"('0x6d25a1e9e176ab058e0f19e67bcbcaac2be96fa9', '105')","(1, '200000000000000000')"
1001,"('0x4c8067db4933e00e9b7638d3d66d2b58181887c1', '105')","(1, '10000000000000000')"
1000,"('0x4c73535655072ee70bb321d22cea67e36d947a29', '105')","(1, '10000000000000000')"
997,"('0x4c400139e281b9a917ee23cb5391e78aa9d0a8dd', '105')","(1, '10000000000000000')"
1298,"('0x602cab76ddf0ef6b58f5a390dc15d87daba41339', '105')","(1, '0')"
995,"('0x4c078cb14b2d321231a90089195317968957896d', '105')","(1, '75000000000000000')"
1296,"('0x601091af1314491f4e3088f8f0fff80d31fb0e1e', '105')","(1, '1051245509600815506')"
160,"('0x0a66f9082e72bd32139455066206bb29fe48c8b3', '105')","(1, '10000000000000000')"
1349,"('0x6545a8cb2d809f8488e89480df5055fb176aa318', '105')","(1, '0')"
162,"('0x0af34b996d21c2e6455c8896a7a6674f6c233bc1', '105')","(0, '100000000000000000')"
1290,"('0x5f82bb7418cf3230f101a01b3f40f2113a5956dd', '105')","(1, '15000000000000000')"
163,"('0x0b3240851e92ffc80e837f53aa7560cbe1290f57', '105')","(1, '10000000000000000')"
989,"('0x4baea2789934a5faedbac7f78d31a4674b06426d', '105')","(1, '100000000000000000')"
1023,"('0x4dc23e91fcd7693551f99642bc1e0ed4664fbddd', '105')","(1, '200000000000000000')"
62,"('0x0586cc847c82397c443992facdc8cae0dba46956', '105')","(1, '10000000000000000')"
1029,"('0x4e5e9b83860e094a141af2246b5543f62b2cf0fb', '105')","(1, '0')"
64,"('0x0586fcc2d0d400596ff326f30debaa3a79e33c25', '105')","(1, '0')"
85,"('0x06fb028ba0cb89f9b9049a066e784fd3b8662030', '105')","(1, '200000000000000000')"
2281,"('0x9fa7d42ef9eb89ef6fabdde88207fbe6afa70626', '105')","(1, '0')"
2279,"('0x9f1b2a231dad10d4bb099f19c1bc1152baa2c494', '105')","(1, '10000000000000000')"
2275,"('0x9ea2d14f2d7b6725176d150b12bfad7694ce0ebe', '105')","(1, '10000000000000000')"
1401,"('0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9', '105')","(2, '23126000000000000000')"
1406,"('0x66d8137e644fb7d03eeffd6b45eef812da3dcbb3', '105')","(1, '10000000000000000')"
83,"('0x06d025ea6754da7af4ddcf51cc860b8f6293e88f', '105')","(1, '100000000000000000')"
2264,"('0x9d75b8717aa34258dea1afd74306cb41e30f7b3f', '105')","(1, '200000000000000000')"
1101,"('0x52d19146f9e834cd5ddecf2b96bdb29a338f1461', '105')","(1, '0')"
2262,"('0x9d5f104fab045ad505b9ec2cff2c4c8183505aaf', '105')","(1, '10000000000000000')"
1433,"('0x686ddcf9b7e2d6660ee4cf02757588245a4cb3e1', '105')","(1, '10000000000000000')"
1069,"('0x522922a4b84ebbdb4763e4a26e9aabaaa5f98087', '105')","(1, '10000000000000000')"
1104,"('0x534e91118bfafd141848cb971f80b7e7a3320799', '105')","(1, '200011000000000000')"
1343,"('0x64b5f9dd6f23269b966a4c3717e150a6dd264851', '105')","(1, '500000000000000000')"
1289,"('0x5f1f0b3a30e0c1c06dad53fa0a21f96fe5f5391a', '105')","(1, '10000000000000000')"
78,"('0x068f389a4099fe892c252349a18fb79110ea0d7c', '105')","(1, '100000000000000000')"
2254,"('0x9c72c98535224c3c045a3d27ff981ed5a1d64d6e', '105')","(1, '200000000000000000')"
1112,"('0x535b3ddd9939056cb6d74d1253ae1a4adf5d723a', '105')","(1, '50000000000000000000000')"
73,"('0x064a768bb4e79f22ba0dcb3c5d2421ae32d51003', '105')","(1, '50000000000000000')"
2251,"('0x9c32443ec5b3c3604e2d29ad1d41f8d3a859f278', '105')","(1, '10000000000000000')"
117,"('0x070341aa5ed571f0fb2c4a5641409b1a46b4961b', '105')","(1, '50000000000000000000000')"
72,"('0x062f0b4babbf86e636809ccb5e1d02b8e45d8491', '105')","(1, '0')"
1055,"('0x50f7c1a1db6ac509d4a9e684617a191f3b400c04', '105')","(1, '11000000000000000')"
