,Unnamed: 0,voters.id,proposalID.id,support,single_vote,name
610,610,0x303eefedee1ba8e5d507a55465d946b2fea18583,49,1,1000000000000000000,bacobit.eth
611,611,0x303eefedee1ba8e5d507a55465d946b2fea18583,51,1,1000000000000000000,bacobit.eth
612,612,0x303eefedee1ba8e5d507a55465d946b2fea18583,52,1,1000000000000000000,bacobit.eth
613,613,0x303eefedee1ba8e5d507a55465d946b2fea18583,53,1,1000000000000000000,bacobit.eth
614,614,0x3053c11e2311ec24464751204a78a25844cca847,107,1,250000000000000000,rekto.eth
615,615,0x3053c11e2311ec24464751204a78a25844cca847,108,1,250000000000000000,rekto.eth
616,616,0x305e1862f68a6cf2d484b9f19172e9c70bf7816f,111,1,0,robotapi.eth
617,617,0x3066856ed81b4f9c9c83f756c5a28c76bd8ef4a3,105,1,15000000000000000,38816.eth
618,618,0x3066856ed81b4f9c9c83f756c5a28c76bd8ef4a3,111,1,15000000000000000,38816.eth
619,619,0x3083d29102f5447a00cde3c3b28b39650cd131ef,109,0,0,irisdao.eth
620,620,0x30a56ab7aa837cc4c33944ea0bd155d45b332c23,105,1,110000000000000000,
621,621,0x30c80c56f439760d4d0fa33ed19822a27e7461bb,67,1,399182439509669529,
622,622,0x30c80c56f439760d4d0fa33ed19822a27e7461bb,92,1,399182439509669529,
623,623,0x30c80c56f439760d4d0fa33ed19822a27e7461bb,100,1,399182439509669529,
624,624,0x3155974c04340f8dd1a81ad8101e85cfdcb975d8,105,1,0,
625,625,0x3155974c04340f8dd1a81ad8101e85cfdcb975d8,111,1,0,
626,626,0x315e1a5c796b734585c27e615b774441372fbd08,112,1,3000000000000000,blockceo.eth
627,627,0x32066c4ae40983d9d18b211fde0fee01ceaff6b5,105,1,260000000000000000,hhh17.eth
628,628,0x32066c4ae40983d9d18b211fde0fee01ceaff6b5,106,1,260000000000000000,hhh17.eth
629,629,0x32066c4ae40983d9d18b211fde0fee01ceaff6b5,111,1,260000000000000000,hhh17.eth
630,630,0x3216144140da978122d8876450c3257bea45f3c6,105,1,100000000000000000,zhutourou.eth
631,631,0x3266424c9bee709ef24965b0ddfdc504cb382a2a,105,1,250000000000000000,ariababy.eth
632,632,0x3266424c9bee709ef24965b0ddfdc504cb382a2a,109,0,250000000000000000,ariababy.eth
633,633,0x3266424c9bee709ef24965b0ddfdc504cb382a2a,111,1,250000000000000000,ariababy.eth
634,634,0x32791bbc7ddc9d0e6bd914f3b7f73747132a3a5b,109,0,0,709631.eth
635,635,0x32791bbc7ddc9d0e6bd914f3b7f73747132a3a5b,111,1,0,709631.eth
636,636,0x3290603e448a2ce1831a4c4e68385d5e1531aced,100,1,0,xinan888.eth
637,637,0x32ddf9cedcf0d54039c646051f5eac90239aaa03,109,2,0,catoneyan.eth
638,638,0x32e100b633a70b4f315945f7c18373297f9f8a9f,109,0,250000000000000000,007277.eth
639,639,0x32e100b633a70b4f315945f7c18373297f9f8a9f,111,1,250000000000000000,007277.eth
640,640,0x330958aec4eca4308113202b5d8622e813466b2f,111,1,10000000000000000,
641,641,0x3314a09dad31ff12fa76cc3f19ab9e9b7f108872,111,1,0,hashfarm.eth
642,642,0x3327da45e4be37e57101f3a327cd166a335c3142,105,1,100000000000000000,
643,643,0x33379bcaa7a60f0dbb79e8db6f546076776a8360,86,1,0,
644,644,0x33379bcaa7a60f0dbb79e8db6f546076776a8360,87,1,0,
645,645,0x33482803274c5e08661843636dcee8e9a68c7252,111,1,22000000000000000,
646,646,0x33482803274c5e08661843636dcee8e9a68c7252,112,1,22000000000000000,
647,647,0x335d2d954cec61cb4673780300d890340a29dd99,100,1,0,fengcc.eth
648,648,0x335d2d954cec61cb4673780300d890340a29dd99,105,1,200000000000000000,fengcc.eth
649,649,0x335d2d954cec61cb4673780300d890340a29dd99,109,0,200000000000000000,fengcc.eth
650,650,0x335d2d954cec61cb4673780300d890340a29dd99,111,1,200000000000000000,fengcc.eth
651,651,0x33d4546960d29107d2bae9d58bd2786e6b5f169a,108,1,1500000000000000000,
