,id_proposal,support_votes
474,"('0x0d6e5baa9169dcc08080575e978365cb75e05702', '11')","(1, '10000000000000000')"
686,"('0x14133dd0285c5804646482d4743c048e2a5ae2ec', '11')","(1, '1000000000000000000')"
1663,"('0x2cccaecc8cde703351c71bfff5f1de246e49d963', '11')","(1, '5190000000000000000')"
1234,"('0x22b5b949c5e9d690a2b8d7bc7bb46721b2d496a3', '11')","(1, '1100000000000000000')"
470,"('0x0d37b245fd7b9a7887e388ebb03c28258beb39b1', '11')","(1, '1073000000000000000')"
469,"('0x0d17210ad8c58b9fb47066629f3325ee73648ca0', '11')","(1, '1000000000000000000')"
1097,"('0x1e4942b1a4fab51ec950e5cccc957497b37d1103', '11')","(1, '572000000000000000093')"
1943,"('0x34c131566ed45352ba74873ad890e734e17ec020', '11')","(1, '14240000000000000000')"
464,"('0x0d1456a83ce96e010db1fcba4e71bbc6c3a18452', '11')","(1, '110000000000000000')"
1237,"('0x22bfd731b25d54ab7f978eacb54f1a5fe80903eb', '11')","(1, '20000000000000000')"
2067,"('0x38ac00297427e6ae7efc0850d667ab9b4c78cba5', '11')","(1, '1000000000000000000')"
781,"('0x16ca503edbbccfbbe2520613343770ab863ecf92', '11')","(1, '2000000000000000000')"
699,"('0x144abc35f51f72f76a77ef3c04d9d61715bccd53', '11')","(1, '1002144979300000000')"
2062,"('0x3891e54bb321a2889c6fbfd8efaf5d536627550c', '11')","(1, '330000000000000000')"
1935,"('0x347d88b90e39485b3468df96864cb2cb7ad8cf80', '11')","(1, '1000000000000000000')"
1743,"('0x2f25181e624f85df8094157c5ac2d2db8a7107b1', '11')","(1, '1120000000000000000')"
482,"('0x0da1d27ab726669ed32ff3963cd9167ffaa04742', '11')","(1, '3100000000000000000')"
2061,"('0x386465da26f3a6cc68c4c5e95fe37422e1df5afd', '11')","(1, '0')"
694,"('0x1434d3a0ecb85973be0261fa7e3a6911d065eaae', '11')","(1, '999999000000000000')"
458,"('0x0c7cdee7f65f2be9d3d241a8caf43fd2773e263b', '11')","(1, '621283106617434707')"
2058,"('0x382a3c082c06543f4f59a88edd9a64eb41410996', '11')","(1, '1000000000000000000')"
693,"('0x14269e3a2860b83fe72a8978c1890743463d5d59', '11')","(1, '1000000000000000000')"
1939,"('0x34ac1dee36dfc080c863f6b9955cca0d056770c2', '11')","(1, '50000000000000000')"
2057,"('0x381a034325dcf0687888815461f26f5f8c559e13', '11')","(1, '1214880770000000000')"
695,"('0x14468ea31273dc32042459d748f662c1caad29f6', '11')","(1, '10000000000000000')"
2069,"('0x38be517c55242f040f5a2fbf843727fa199e6035', '11')","(1, '1100000000000000000')"
484,"('0x0dbb0cff7c9515fc56d352ee37aeeefdf43b25fe', '11')","(1, '1100000000000000000')"
1105,"('0x1eb0fe0144dd7a74a8d871a1b2e2d841bfce5d0e', '11')","(1, '1000099000000000000')"
1204,"('0x21d99bbbc49846fc9864931a0c3fdc296999aeea', '11')","(1, '10000000000000000')"
1965,"('0x3560e6ae93b34399c75a853704ac83e8102ca27b', '11')","(1, '1100000000000000000')"
1206,"('0x21eae6e365aeb7cd907473ec12176d0976914e68', '11')","(1, '1100000000000000000')"
1208,"('0x220452c66d0ccd7a46c064da784c444939509821', '11')","(1, '580000000000000000')"
656,"('0x139996f03378e1a6b5decf2c58b20926e75b7ac4', '11')","(1, '5200000000000000000')"
1717,"('0x2e65768a29b5d5aa0f4608feabedffe4d5ece1c5', '11')","(1, '10000000000000000')"
519,"('0x0f7974fc4a15ad9e0c177748264beea72af7749a', '11')","(1, '1010000000000000000')"
2033,"('0x37335c7911924909e2c542282be3474b7f6a70db', '11')","(1, '2000000000000000000')"
662,"('0x13b28fd1df2ec7dc8efabe7f15e2e7a8527c6e8f', '11')","(1, '10000000000000000')"
1672,"('0x2cfc3058f6a80b178716a26dad6769d44d9942c7', '11')","(1, '1000000000000000000')"
1722,"('0x2e7b05c3de55ab1533c7d951727965355a7d0685', '11')","(1, '1846926330000000000')"
1671,"('0x2cd926471980a9769ade4f3ccfe2ca274e51ff7c', '11')","(1, '1100000000000000000')"
2036,"('0x373be74324aff93be17fce300173aaebb999e7ba', '11')","(1, '1030000000000000000')"
509,"('0x0eaadc510c54a5dc2c21140e0d280ce4f94f988e', '11')","(1, '100000000000000000')"
1723,"('0x2e8a53f11ea9ee05fdf45261113a0acc68ee9f55', '11')","(0, '500157830000000000')"
1959,"('0x3551042c0b6176f0961f7345ee4177a16708ecf4', '11')","(1, '1100000000000000000')"
2038,"('0x376110452c2fdaef842dbd1f64234a2045d2e40c', '11')","(1, '2003145054769263100')"
1729,"('0x2ee8dcb7407db5b18bc1c5acd0c7b1dd021a61e2', '11')","(1, '350000000000000000')"
